premise,hypothesis,label
Young man in a school band who has center stage and is doing his best.,A young band is competing in a talent show.,0
Young man in a school band who has center stage and is doing his best.,A school band is playing.,0
A woman in a blue dress sings while her bandmates play instruments.,Some people are playing instruments for a school holiday concert.,0
A woman in a blue dress sings while her bandmates play instruments.,People are singing and playing instruments.,0
"A band with four members, one female, plays for a small audience.",A music group plays good music.,0
"A band with four members, one female, plays for a small audience.",A music group plays music.,0
A musical quintet are performing at a festival.,Four people at a festival.,0
A musical quintet are performing at a festival.,A musical quintet are performing their favorite song at a festival.,0
A 5-person band is performing on a stage inside a tent.,A band performs a musical number on stage.,0
A 5-person band is performing on a stage inside a tent.,A bluegrass band performs a song.,0
A large woman in a blue jacket is looking irritated.,a heavy set woman wearing a jacket is not happy.,0
A large woman in a blue jacket is looking irritated.,a large woman got irritated.,0
Two men in wheelchairs crash and they reach for the ball.,The men are old,0
Two men in wheelchairs crash and they reach for the ball.,Two men are in wheelchairs,0
A boogie boarder surfs on a man made wave.,There is a person with a boogie board.,0
A boogie boarder surfs on a man made wave.,The person is at a water park.,0
A bride and groom dance surrounded by people at the reception.,Two people in love are in the middle of a huge crowd.,0
A bride and groom dance surrounded by people at the reception.,A married couple is in the proximity of other humans.,0
A young blond woman in a blue top sits at a green table studying,A young women is sitting.,0
A young blond woman in a blue top sits at a green table studying,The young women is in college.,0
A referee is speaking to some players on a field.,referee discussing with player,0
A referee is speaking to some players on a field.,players in field,0
"Man and woman discussing a topic while sitting in chairs, a water bottle sitting on the table.",man and woman talking,0
"Man and woman discussing a topic while sitting in chairs, a water bottle sitting on the table.",husband and wife talk,0
Two teams compete in a game of football and are hurrying to catch the ball midair.,two teams playing a game.,0
Two teams compete in a game of football and are hurrying to catch the ball midair.,two teams chasing a football.,0
Players from two teams tangle together in pursuit of a flying rugby ball.,Two teams playing.,0
Players from two teams tangle together in pursuit of a flying rugby ball.,Two teams that are rivals.,0
Black and White Team rugby players are struggling over the ball in front of a white wall that has blue writing.,The rugby players are outside.,0
Black and White Team rugby players are struggling over the ball in front of a white wall that has blue writing.,The words on the wall are wrote in blue.,0
A team of men are playing a game in which several of them are jumping to reach the ball.,The men are playing frisbee.,0
A team of men are playing a game in which several of them are jumping to reach the ball.,The men are playing basketball.,0
A group of rugby players are struggling over the ball.,A group is struggling over a ball.,0
A group of rugby players are struggling over the ball.,A group of rugby players fight for a ball in the final minutes of a game.,0
A boy is hugging a smaller boy from behind.,a couple boys are together,0
A boy is hugging a smaller boy from behind.,boys are saying goodbye to each other,0
Two young boys wearing jerseys are washing their hands in the bathroom.,A couple of young boys are washing their hands.,0
Two young boys wearing jerseys are washing their hands in the bathroom.,A couple of kids are covered in dirt.,0
Asian women in traditional garb are walking in a parade.,Asian women playing dress up,0
Asian women in traditional garb are walking in a parade.,Asian women in a parade,0
A man in green shorts and a brown shirt and sunglasses takes a picture.,The sun is behind the subject of the man taking the picture.,0
A man in green shorts and a brown shirt and sunglasses takes a picture.,The man taking the picture is wearing shorts and sunglasses.,0
Three Asian people wait on the sidewalk.,3 people are on the sidewalk,0
Three Asian people wait on the sidewalk.,3 Asian women wait for the bus,0
A group of people sitting at an outdoor table eating food and drinking alcoholic beverages.,The people are outdoors eating and drinking.,0
A group of people sitting at an outdoor table eating food and drinking alcoholic beverages.,The people are chatting with one another.,0
A man and a woman are standing in front of a building with some graffiti on it.,A woman and man are standing in front of a building.,0
A man and a woman are standing in front of a building with some graffiti on it.,A couple is painting graffiti on the side of a building.,0
A young girl and a young guy are outside on a street facing each other.,Some people are outside.,0
A young girl and a young guy are outside on a street facing each other.,The man is asking his girlfriend to marry him.,0
A woman in a black jacket is talking to a man who's wearing white sneakers next to a yellow building.,The woman is talking to her husband.,0
A woman in a black jacket is talking to a man who's wearing white sneakers next to a yellow building.,The woman is talking.,0
"Two people stand in front of a building with graffiti that reads ""Boss Life"".",The building was vandalized by a gang.,0
"Two people stand in front of a building with graffiti that reads ""Boss Life"".",Two people stand outside.,0
A group of adults in casual dress sit down to eat a barbecued meal.,The adults are eating dinner.,0
A group of adults in casual dress sit down to eat a barbecued meal.,The adults are wearing clothes.,0
Two people are facing each other on the corner of a street.,The two people are outdoors,0
Two people are facing each other on the corner of a street.,The two people are old friends,0
A woman in red sips a drink as she looks at the people below her.,A person drinks while people watching.,0
A woman in red sips a drink as she looks at the people below her.,A woman in red sips a drink as she looks at the people below her in the street.,0
"Many people wearing red and white are walking in the street as another lady, wearing a red blouse, watches from above holding a drink.",People are walking on a street.,0
"Many people wearing red and white are walking in the street as another lady, wearing a red blouse, watches from above holding a drink.",The lady is ravishing.,0
A view of a city street where many people wearing white and red are walking.,There is a view of a city street with some people wearing white and red walking.,0
A view of a city street where many people wearing white and red are walking.,There is a view of a city street with many people wearing white and red while walking.,0
Two elderly people sing in microphones while playing instruments.,The people are making noise together.,0
Two elderly people sing in microphones while playing instruments.,The people are singing on stage.,0
"An older middle-aged man wearing a brown hat is strumming a guitar and singing into a microphone; his female companion is singing into a microphone and playing an instrument also, but the woman's instrument cannot be readily seen.","The man and woman singing due play their instruments, although the woman's instrument is blocked by something.",0
"An older middle-aged man wearing a brown hat is strumming a guitar and singing into a microphone; his female companion is singing into a microphone and playing an instrument also, but the woman's instrument cannot be readily seen.","The couple sing and play together nicely, even if the man's brown hat is blocking the woman's instrument.",0
A young woman sips a drink on a balcony during a Bull run.,The woman sipped her drink.,0
A young woman sips a drink on a balcony during a Bull run.,The woman sat on the balcony and watched the Bull run.,0
A couple of old people playing instruments and singing.,old people are singing for their church,0
A couple of old people playing instruments and singing.,old people are singing and playing instruments,0
Several people are standing in a fenced in area.,There are some people standing around whilst fenced in.,0
Several people are standing in a fenced in area.,There are eight people surrounded by a fence.,0
A winter landscape with four people walking in the snow.,A winter scene with four people walking to a party.,0
A winter landscape with four people walking in the snow.,A winter scene with people walking.,0
two dogs run across dry ground.,two animals run across dry ground.,0
two dogs run across dry ground.,two big dogs run across dry ground.,0
Two dogs walking along dirt path.,The animals are moving.,0
Two dogs walking along dirt path.,A pit bull and a golden retriever take the short cut home.,0
The dogs are walking in the desert.,The dogs are walking to the water in the desert.,0
The dogs are walking in the desert.,The dogs are on the beach.,0
Two dogs are walking away from the camera through shrubs and grass.,There are some dogs outside.,0
Two dogs are walking away from the camera through shrubs and grass.,The dogs are leading the cameraman somewhere.,0
A man holds onto a tether as he waterskis splashing water every direction!,a man watersking for the first time,0
A man holds onto a tether as he waterskis splashing water every direction!,a man watersking,0
Two dogs playing outside.,A couple of mutts are chasing a squirrel.,0
Two dogs playing outside.,There are canines in the yard.,0
A young Indian girl in a blue dress is pointing and smiling at the camera.,the girl laughing,0
A young Indian girl in a blue dress is pointing and smiling at the camera.,THe girl is on tv,0
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",All the girls are smiling.,0
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",At least one girl is smiling.,0
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",Girls wearing blue dresses play with a piece of fabric and pose for a picture.,0
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",The girl just noticed the camera.,0
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",There is a smiling girl pointing to the camera.,0
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.","a number of girls dressed in blue, one of whom smiles",0
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",A lady holds fabric while another woman points at the camera.,0
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",A girl smiles and points at a picture.,0
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.","two woman pose for a picture, and one of them is holding fabric.",0
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",a birthday group is photographed,0
Dog catching a red Frisbee.,A dog is playing catch.,0
Dog catching a red Frisbee.,A dog catches a frisbee in the park.,0
Girls in blue dresses are holding large blue cloths.,A group of girls using cloths to wash a car.,0
Girls in blue dresses are holding large blue cloths.,A group of girls in blue holding cloths.,0
A man wearing swim goggles is doing the crawl in a lane in a swimming pool.,A human in a pool,0
A man wearing swim goggles is doing the crawl in a lane in a swimming pool.,A tall human in a pool,0
Two Indian people are dancing at a wedding with flower petals all over the floor.,Two Indian people people dancing at a wedding.,0
Two Indian people are dancing at a wedding with flower petals all over the floor.,An Indian couple dancing at their wedding.,0
The boys draw in the sand with sticks.,The teenagers try to out draw each other on the beach.,0
The boys draw in the sand with sticks.,The children play simply.,0
A girl wearing a blue dress is sliding down a tube slide.,A girl wearing a blue dress is playing at a playground.,0
A girl wearing a blue dress is sliding down a tube slide.,A girl wearing a blue dress is playing at a playground with friends.,0
A swimmer is emerging from the water,The swimmer is coming up from the water.,0
A swimmer is emerging from the water,The swimmer is coming up for air.,0
A bearded man wears a red bandanna and a leather jacket over a teeshirt with an American flag on it.,The beard is short.,0
A bearded man wears a red bandanna and a leather jacket over a teeshirt with an American flag on it.,A bearded man is wearing an America-themed shirt.,0
A swimmer's hand is taken as he gets out of the water.,The swimmer is getting out of the water.,0
A swimmer exits the water after a competition.,A person is wet.,0
A swimmer exits the water after a competition.,A swimmer won a competition.,0
The child wearing the green shirt is on the beach talking with some people.,The child is talking to his friend.,0
The child wearing the green shirt is on the beach talking with some people.,The child is wearing green.,0
Four people in sunhats are sitting and talking together on the sand of the ocean shore.,Four people are enjoying their day outside.,0
Four people in sunhats are sitting and talking together on the sand of the ocean shore.,Four people sit outside.,0
Three guys sitting on a sandy beach near the water and one is talking to the two little girls.,The guys sat on the beach near the water.,0
Three guys sitting on a sandy beach near the water and one is talking to the two little girls.,The guys sat on the beach near the water watching the sunset.,0
A small group of adults and children are wearing hats and shorts on the sandy beach near the blue water.,A small group of adults and children are wearing hats,0
A small group of adults and children are wearing hats and shorts on the sandy beach near the blue water.,A small group of adults and children are joyously wearing hats,0
Four people with hats are relaxing at the coast.,Some people are on vacation.,0
Four people with hats are relaxing at the coast.,Some people are sitting on the coast.,0
A man wearing a beret walks down the street and smiles.,The man is happy as he walks.,0
A man wearing a beret walks down the street and smiles.,The man is walking through Paris.,0
Two people are outside walking through the snow.,The snow is thick.,0
Two people are outside walking through the snow.,There are people.,0
A dog rolls on his back.,The dog is scratching his back.,0
A dog rolls on his back.,The dog rolls over.,0
People sitting on black chairs on a bus.,The people are on their way home,0
People sitting on black chairs on a bus.,The people in a bus,0
A woman who has just finished her dance performance3.,A woman just finished dancing for a massive audience.,0
A woman who has just finished her dance performance3.,A woman just finished dancing.,0
A young woman is drawing with a Sharpie marker.,A woman is drawing.,0
A young woman is drawing with a Sharpie marker.,A woman is drawing.,0
A young woman is drawing with a Sharpie marker.,The Sharpie is black,0
A young woman is drawing with a Sharpie marker.,A young girl is drawing using a Sharpie marker,0
A young woman is drawing with a Sharpie marker.,a women is drawing,0
A young woman is drawing with a Sharpie marker.,The woman is drawing,0
A young woman is drawing with a Sharpie marker.,A young women is drawing in art class.,0
A young woman is drawing with a Sharpie marker.,she i using a black sharpie,0
A young woman is drawing with a Sharpie marker.,An art student is performing a sketch of the field in Sharpie marker,0
A young woman is drawing with a Sharpie marker.,The woman is an art student.,0
A woman is drawing at a table with a blue permanent marker.,A woman is drawing a dinosaur at a table with a blue permanent marker.,0
A woman is drawing at a table with a blue permanent marker.,A woman is drawing.,0
A young woman draws lines on a tile with a permanent marker.,The artist makes a quick sketch on the tile.,0
A young woman draws lines on a tile with a permanent marker.,A person is using a writing utensil.,0
A woman with strawberry blond-hair decorates a tile in yellow and black.,A woman is decorating a tile.,0
A woman with strawberry blond-hair decorates a tile in yellow and black.,A woman is painting a tile at a picnic table.,0
"An art student uses a blue Sharpie to create a pattern on thick, white poster board.",A student draws on poster board.,0
"An art student uses a blue Sharpie to create a pattern on thick, white poster board.",A student draws a chevron pattern on poster board.,0
A military man walks in front of a procession of people during a parade.,A man leads the parade.,0
A military man walks in front of a procession of people during a parade.,A man is in a parade..,0
"Barefooted, someone appears to be looking in a bathroom mirror.",A person appears to be looking in a mirror.,0
"Barefooted, someone appears to be looking in a bathroom mirror.",A person in a black shirt is looking in a mirror.,0
A woman in a pool looking down.,A woman is preparing to dive.,0
A woman in a pool looking down.,A woman is looking into a pool.,0
A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,0
A biker pops a wheelie along side the colorful wall.,A biker does a trick with other bikers.,0
A baseball player hits baseball.,The player swings his bat.,0
A baseball player hits baseball.,The player hit a home run.,0
A woman in a yellow shirts walks through a park with her dog not far behind.,A woman walks with her dog,0
A woman in a yellow shirts walks through a park with her dog not far behind.,The woman is trying to out-walk her dog,0
A man on a small bicycle performing a trick on a wall covered with graffiti.,A man is riding a bicycle up a graffiti covered wall.,0
A man on a small bicycle performing a trick on a wall covered with graffiti.,A man is performing a trick on a bicycle to a small crowd.,0
A baseball player hitting a ball.,someone hitting a ball,0
A baseball player hitting a ball.,someone hitting a ball during the championship baseball game,0
A trials biker doing a stunt on a graffiti-filled wall.,The person is falling off his bike.,0
A trials biker doing a stunt on a graffiti-filled wall.,The person is on a bicycle.,0
A bmx rider does a trick against a graffiti covered wall.,A bike rider is outside doing tricks.,0
A bmx rider does a trick against a graffiti covered wall.,The bmx rider has been riding his entire life.,0
"Two men, both wearing green cycling clothes and helmets, are riding bicycles.",Two guys ride bikes in a triathlon.,0
"Two men, both wearing green cycling clothes and helmets, are riding bicycles.",Two guys ride bikes.,0
A lady in a purple shirt is painting a picture of a person on a curved wall.,A lady painting.,0
A lady in a purple shirt is painting a picture of a person on a curved wall.,A lady painting a picture of a famous person.,0
A woman with a purple shirt painting another woman on a wall.,A woman who is wearing a purple shirt is painting another woman who has purple on as well.,0
A woman with a purple shirt painting another woman on a wall.,A woman who is wearing purple is painting another woman.,0
A lady painting on a public wall!,The woman was painting a portrait of herself.,0
A lady painting on a public wall!,The woman was painting.,0
Seven people walking across a bridge.,There are people on a bridge,0
Seven people walking across a bridge.,There are people on a long bridge,0
Three young boys are dressed in hoodies facing the same way.,Group of young boys all in hoodies.,0
Three young boys are dressed in hoodies facing the same way.,Three best friends get into mischief.,0
A man and a woman conversing in a city.,the cars drove by in the city,0
A man and a woman conversing in a city.,the man was talking,0
A man and a woman eating at an outdoor table.,The man and woman eat here all the time.,0
A man and a woman eating at an outdoor table.,The couple are outdoors.,0
A couple having lunch on a public lunch table.,A couple is outside,0
A couple having lunch on a public lunch table.,A couple is having lunch,0
Three boys in hooded sweatshirts standing and looking at camera.,Some kids in hooded sweatshirts loiter.,0
Three boys in hooded sweatshirts standing and looking at camera.,Three young school friends pose.,0
A little girl smiling in a colorful knitted hat.,The little girl likes her hat,0
A little girl smiling in a colorful knitted hat.,The little girl is happy,0
Little girl wearing a colorful hat while propped up on a cushion.,A little girl is inside.,0
Little girl wearing a colorful hat while propped up on a cushion.,A child sits for her first birthday photos,0
Little girl wearing a colorful hat while propped up on a cushion.,A little girl wears a colorful hat.,0
Little girl wearing a colorful hat while propped up on a cushion.,A girl in a hat,0
Little girl wearing a colorful hat while propped up on a cushion.,A girl wearing a hat smiles with some people.,0
Little girl wearing a colorful hat while propped up on a cushion.,A girl is wearing a hat.,0
Little girl wearing a colorful hat while propped up on a cushion.,"A little girl is wearing a colorful hat, the same one that her father used to wear.",0
Little girl wearing a colorful hat while propped up on a cushion.,A girl has something on her head.,0
Little girl wearing a colorful hat while propped up on a cushion.,A girl is posing for a family portrait.,0
Little girl wearing a colorful hat while propped up on a cushion.,A child is posing on a pillow in a pretty hat.,0
A little girl with a knit hat laying on a pillow propping her head up with her hands.,A child is laying down.,0
A little girl with a knit hat laying on a pillow propping her head up with her hands.,A girl is trying to take a nap.,0
"A little girl in a pink, blue, orange and green hat with her hands on her face posing for the camera.",A little girl poses for a picture her mom is taking.,0
"A little girl in a pink, blue, orange and green hat with her hands on her face posing for the camera.",A little girl poses for the camera.,0
Several people are moving away from a brightly colored tower.,There is a group of people near a tower.,0
Several people are moving away from a brightly colored tower.,The people were just at the tower.,0
Three young men wearing hooded sweatshirts are posing for a photo.,Three men have clothes on.,0
Three young men wearing hooded sweatshirts are posing for a photo.,The men are standing up.,0
Asian Child in fancy hat posing for picture,the child is asian,0
Asian Child in fancy hat posing for picture,the hat is large,0
A man looking at the scenery through binoculars.,A man is using a tool to improve his view.,0
A man looking at the scenery through binoculars.,The man does not like the scenery he is viewing.,0
A man photographs out off of the frozen land.,The man is wearing a coat.,0
A man photographs out off of the frozen land.,The man has a camera.,0
"A guy is standing on an ice patch by the sea, looking through a telescope at sunset.",a man looks through a telescope by the sea,0
"A guy is standing on an ice patch by the sea, looking through a telescope at sunset.",a man near the sea looks through a telescope,0
There are many people walking at Times Square in New York near a building with a Lion King poster in the window.,People are walking in New York.,0
There are many people walking at Times Square in New York near a building with a Lion King poster in the window.,There are many people walking at Times Square.,0
There are many people walking at Times Square in New York near a building with a Lion King poster in the window.,People are walking next to the building where the Lion King is being performed.,0
There are many people walking at Times Square in New York near a building with a Lion King poster in the window.,There are many people happily walking at Times Square,0
Photographer taking pictures of sunset.,Woman photographer taking pictures of sunset.,0
Photographer taking pictures of sunset.,Photographer taking pictures.,0
A girl in a black shirt is looking to the side while sitting on a wooden bench.,A girl in a black shirt and blue jeans is sitting on a wooden bench.,0
A girl in a black shirt is looking to the side while sitting on a wooden bench.,A person is sitting on a bench.,0
A young girl playing on a log swing.,a girl swings on a rotten log swing,0
A young girl playing on a log swing.,a girl swinging,0
A girl sitting on a bench amongst the grass,A girl is sitting on a bench outside,0
A girl sitting on a bench amongst the grass,A girl is waiting for a bus,0
A woman sitting on a bench in a park on a cloudy day,The woman is waiting for a friend.,0
A woman sitting on a bench in a park on a cloudy day,There is a woman on a bench outside.,0
A woman holding a girl's wrist walking down the street.,Some people walking down the street holding hands escaping the rain.,0
A woman holding a girl's wrist walking down the street.,Some people walking down the street.,0
A woman holding a little girls hand walking across a bridge.,A woman and a child are running on a bridge.,0
A woman holding a little girls hand walking across a bridge.,Two people walking across a bridge.,0
A girl is swinging on a piece of wood.,The girl is outside.,0
A girl is swinging on a piece of wood.,The girl is swinging with a friend.,0
A girl with dark hair swings on a hanging log.,A girl is swinging.,0
A girl with dark hair swings on a hanging log.,The log is hanging from a rope.,0
A man wearing a wedding band is pouring a white liquid into a cup of brown liquid.,there is one man in this picture,0
A man wearing a wedding band is pouring a white liquid into a cup of brown liquid.,the man is getting ready to drink his coffee while reading the paper,0
One small dog chases another across grass.,The grass is healthy,0
One small dog chases another across grass.,There are two dogs,0
The baby is wearing a red shirt and walking in a plaza.,The baby is wearing a red shirt and walking with his parents.,0
The baby is wearing a red shirt and walking in a plaza.,The baby is walking in a plaza.,0
Monks in red robes sell vegetables at a market.,robed people selling veggies in market,0
Monks in red robes sell vegetables at a market.,monks selling vegetables in the market,0
A group of teenagers sitting in the hall at school.,A group of teenagers are playing cards in the hallway at school,0
A group of teenagers sitting in the hall at school.,Teenagers are sitting in the school hallway,0
A baby in jeans and a winter jacket sits on top of a blue slide.,A baby on a playground slide outside,0
A baby in jeans and a winter jacket sits on top of a blue slide.,A baby sitting on top of a slide,0
A woman in a flower shirt is working on a piece of pottery.,The flowers on her shirt are red,0
A woman in a flower shirt is working on a piece of pottery.,She wears a decorated shirt,0
Two people climb a set of stairs onto a bridge.,two people are climbing stairs to jump off the bridge.,0
Two people climb a set of stairs onto a bridge.,two people are outside moving.,0
Man and woman walking up the stairs to an overpass.,Two people are escalating.,0
Man and woman walking up the stairs to an overpass.,A couple is visiting a state park.,0
2 people walking up a set of stairs in the city.,People walking up stairs.,0
2 people walking up a set of stairs in the city.,People walking up stairs on their way home.,0
A man walking a dog and a young girl climb the stairs to a red bridge in a city.,A sad man walking a dog and a young girl climb the stairs to a red bridge in a city.,0
A man walking a dog and a young girl climb the stairs to a red bridge in a city.,A person walking a dog and a young girl climb the stairs to a red bridge in a city.,0
A couple is walking up the stairs to a bridge in a downtown part of a city.,Two people walking up to a bridge.,0
A couple is walking up the stairs to a bridge in a downtown part of a city.,A couple walks up steep steps to a large blue bridge.,0
A man wearing green shoes lounges outdoors.,A man sits outdoors.,0
A man wearing green shoes lounges outdoors.,A man sits down to adjust his uncomfortable green shoes.,0
A young child learning how to swim.,A man teaches his son to swim.,0
A young child learning how to swim.,A child learns to swim.,0
A man wearing cutoff jeans and green sneakers sits with one leg crossed across the other one.,A man is wearing sunglasses.,0
A man wearing cutoff jeans and green sneakers sits with one leg crossed across the other one.,A man is wearing shoes.,0
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",A drunk man is drinking in a garden,0
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",a casually dressed man sits in the garden,0
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",A man is outside.,0
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",An individual sits drinking a beer in a garden.,0
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",A man is trying to unwind from the workweek,0
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",A man is taking a break from weeding his garden.,0
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",a lazy man relaxes with a beer,0
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",a beer is held by a man in casual attire,0
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",A man is wearing a tank top.,0
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",a casually dressed man sits and waits for his wife,0
A man in shorts in a lawn chair sits surrounded with plants in a backyard.,There's a guy in a chair out in the yard.,0
A man in shorts in a lawn chair sits surrounded with plants in a backyard.,There's a guy sleeping in a chair in the yard.,0
A man in denim shorts and green shoes is sitting and relaxing in a lawn chair.,A man wears cut off jean shorts.,0
A man in denim shorts and green shoes is sitting and relaxing in a lawn chair.,A man wears jean shorts.,0
Woman with blue gloves and floral shirt handling a large ceramic bowl in a ceramic shop.,The woman is holding a ceramic bowl.,0
Woman with blue gloves and floral shirt handling a large ceramic bowl in a ceramic shop.,The woman just made the bowl.,0
A little girl smiles as she slides down a tube on a sunny day.,A little girl slides down a tube.,0
A little girl smiles as she slides down a tube on a sunny day.,A little girl slides down a tube at a park.,0
Two dogs chase another dog that has a ball.,The dogs are chasing each other after a long day cooped up in the house.,0
Two dogs chase another dog that has a ball.,The dogs all want the same ball.,0
A man wearing glasses is singing into a microphone.,A man sings into microphone,0
A man wearing glasses is singing into a microphone.,A man is performing on stage,0
A bride and groom share a kiss.,A bride and a groom french kiss.,0
A bride and groom share a kiss.,A bride and a groom kiss.,0
A man in a blue shirt walking down the street.,A man is walking to his neighbor's house.,0
A man in a blue shirt walking down the street.,A man is walking outside.,0
Fans are cheering at a performance.,All the fans like this performance the best.,0
Fans are cheering at a performance.,The performance has gotten the fans cheering.,0
"Three soldiers are having a discussion in front of a playground, while others look on.",The soldiers are outdoors.,0
"Three soldiers are having a discussion in front of a playground, while others look on.",The soldiers are having a discussion outdoors while others look.,0
A blond child is drinking from a garden hose.,The child is thirsty.,0
A blond child is drinking from a garden hose.,The kid is using a garden hose for drinking.,0
Several armed forces officers and civilians are standing around a children's playground.,Civilians and armed forces officers trade insults at a playground,0
Several armed forces officers and civilians are standing around a children's playground.,Armed forces officers stand around a playground.,0
"US troops keeping calm in a no fly zone at one of the crucial points in Tripoli, Libya.",A group of troops are getting ready to deploy from a plane.,0
"US troops keeping calm in a no fly zone at one of the crucial points in Tripoli, Libya.",A group of troops are attempting to stay quiet .,0
Military men are conversing near a playground.,they are in the military,0
Military men are conversing near a playground.,they are at a park,0
"A young girl wearing Mardi Gras beads and a green dress is accompanied by two boys, one on foot and one on a bicycle, as she walks down a dirt road.",A young girl and her brothers walk down a rural road.,0
"A young girl wearing Mardi Gras beads and a green dress is accompanied by two boys, one on foot and one on a bicycle, as she walks down a dirt road.",A young girl and two boys travel down a dirt road.,0
A group of boys enjoying a day by down the creek.,Some people fishing down near a creek.,0
A group of boys enjoying a day by down the creek.,Some people down near a creek.,0
Five boys standing a one boy sitting by the lake.,boys are congregating together by the water,0
Five boys standing a one boy sitting by the lake.,boys stand next to another boy sitting by the water,0
Five young boys observe remote control boat in water.,Five young boys are near water.,0
Five young boys observe remote control boat in water.,One boy is controlling a remote control boat while others watch.,0
Group of asian boy on the right of the long table of vegetables and food and asian adults on the left.,There are many Asians at the table.,0
Group of asian boy on the right of the long table of vegetables and food and asian adults on the left.,The group Asians are eating dinner at the table.,0
Boy jumping in the air with a girl on the couch punching towards him.,The girl is short.,0
Boy jumping in the air with a girl on the couch punching towards him.,Someone is jumping.,0
three young african children in a poor part of africa one riding a bike.,Three children are outside.,0
three young african children in a poor part of africa one riding a bike.,Three children are taking turns riding a bike.,0
A child in a green shirt rides a bicycle.,The bicycle is moving.,0
A child in a green shirt rides a bicycle.,The child is a boy.,0
"An African American base player wearing a blue shirt, being backed up by a drummer.",A drummer is backing up a base player.,0
"An African American base player wearing a blue shirt, being backed up by a drummer.",An African American base payer and a drummer are wearing blue shirts.,0
A boat captain steering a large green wheel.,A guy is at the green helm of a boat.,0
A boat captain steering a large green wheel.,The boat pilot is testing a new lightweight anodized aluminum steering wheel at the helm of a ship.,0
Pictured is the captain of a boat; he is steering.,the man is going on a trip,0
Pictured is the captain of a boat; he is steering.,the man is on a boat,0
An older man in nautical gear smilingly turns a ship wheel.,A ship wheel is manned by a well-equipped older man.,0
An older man in nautical gear smilingly turns a ship wheel.,An older man takes his ship on the sea.,0
The smiling ship captain is holding the wheel of his wooden ship.,The ship captain is holding the sterring wheel.,0
The smiling ship captain is holding the wheel of his wooden ship.,The captain is on the bridge.,0
"A large, green, navigating wheel is held by an older man in a captain's hat and uniform.",Older man sailing a ship,0
"A large, green, navigating wheel is held by an older man in a captain's hat and uniform.",Older man wearing an outfit,0
Three firefighters enraged after a prank call.,Three men are looking to find the guy who prank called them.,0
Three firefighters enraged after a prank call.,Three people are angry.,0
Two brothers take a nap on a gray couch.,The brothers are dreaming.,0
Two brothers take a nap on a gray couch.,The brothers are napping on the couch.,0
"A man with hairy arms and a watch pours creamer into a cup of coffee, making color ripples along the surface.",a man makes coffee,0
"A man with hairy arms and a watch pours creamer into a cup of coffee, making color ripples along the surface.",the man is a chef,0
A man in camouflage pants and a backwards cap carrying a toolbox and a backpack.,A person has clothing.,0
A man in camouflage pants and a backwards cap carrying a toolbox and a backpack.,A tall person has clothing.,0
"A woman with brown hair, wearing sunglasses asking a asian gentleman for directions.",The woman is speaking to the man.,0
"A woman with brown hair, wearing sunglasses asking a asian gentleman for directions.",It is sunny outside.,0
Female street entertainer with horns doing a curtsey.,The people are watching her.,0
Female street entertainer with horns doing a curtsey.,The woman is on the street.,0
Little girl in pink coat on a swing.,A little girl at the park.,0
Little girl in pink coat on a swing.,Little girl swinging.,0
People under a tent at a reception.,People are outside.,0
People under a tent at a reception.,People are at a wedding.,0
A formal band performing their works.,The band is playing music for an audience.,0
A formal band performing their works.,The band is playing music.,0
Several stall-shops selling various goods line a dimly-lit cobblestone street.,The vendors in stalls are on a street.,0
Several stall-shops selling various goods line a dimly-lit cobblestone street.,Stalls on a cobblestone street are selling goods.,0
A cowboy riding on the back of a bronco in a competition.,the horse was running,0
A cowboy riding on the back of a bronco in a competition.,the cowboy was winning the competition,0
three chinese people eat soup.,The men are eating chicken noodle soup.,0
three chinese people eat soup.,The people are eating soup.,0
A woman in orange sunglasses jogs.,The woman jogs on an indoor track.,0
A woman in orange sunglasses jogs.,A person is jogging.,0
